ID,title,author,read-length
1,Swipe into Marriage,Steve Thornton,1 hr and 34 mins
2,Google Ads Primer a How to Plan and Optimise Your Campaigns,Carole Emma,3 hrs and 4 mins
3,The Eye of the Bedlam Bride,Matt Dinniman,26 hrs and 46 mins
4,The End of the World as We Know It,Christopher Golden - contributor,27 hrs and 12 mins
5,I Will Break You,Gigi Styx,17 hrs and 33 mins
6,Separation of Church and Hate,John Fugelsang,9 hrs
7,The Wandering Inn,pirateaba,48 hrs and 7 mins
8,The Gate of the Feral Gods,Matt Dinniman,18 hrs and 3 mins
9,"Harry Potter and the Sorcerer's Stone, Book 1",J.K. Rowling,8 hrs and 18 mins
10,The Things We Water,Mariana Zapata,22 hrs and 28 mins
11,How to Entice a Fiend,Alice Winters,10 hrs and 2 mins
12,Framed in Death,J. D. Robb,13 hrs and 11 mins
13,Iron Flame (Part 1 of 2) (Dramatized Adaptation),Rebecca Yarros,11 hrs and 38 mins
14,The Things We Leave Unfinished,Rebecca Yarros,14 hrs and 32 mins
15,Mage Tank 2: A LitRPG Adventure,Cornman,19 hrs and 27 mins
16,Goodnight Wishes and Wonder,Penny Whimsy,13 hrs and 18 mins
17,A Court of Thorns and Roses (10th Anniversary Recording),Sarah J. Maas,14 hrs and 4 mins
18,Rewire,Richard O'Connor PhD,10 hrs and 17 mins
19,House on Fire,Bonnie Kistler,14 hrs and 56 mins
20,The Powerless Frontier,Robert J Walker,7 hrs and 9 mins
